osoba_id,nazwa_firmy,stanowisko
6d658fad-3b5b-4986-965a-ba471794a0cf,"Hendricks, Collier and Baker",Speech and language therapist
b53cd0f5-993b-4bbd-931e-7bf78957c444,Leonard Group,"Surveyor, planning and development"
dcea7dc0-00da-47dc-9595-2c82626aa262,Morton-Carr,Media buyer
19a4ef71-1743-4169-a10d-de726ca10eaa,"Rogers, Smith and Ward",Technical brewer
4d683790-a9c2-47a3-80ad-04866529117a,"Smith, Ferrell and Smith","Scientist, product/process development"
0cbb5e01-ffca-492e-87d1-20fc8ec594d7,Cook LLC,"Programmer, multimedia"
93aeaef8-d352-4afb-b7bd-82959aac0424,"Robinson, Lucas and Fisher",Civil Service fast streamer
17903103-4139-4326-af3b-eba6c6a1d793,Russo-Brandt,Drilling engineer
282c65d4-de83-4dd2-889f-1ad47cb5d6c3,"Long, Thompson and Cowan",Logistics and distribution manager
e310fb5b-143f-4fe1-bdab-a8d0c34fd2d5,"Thomas, Caldwell and Mcdonald",Probation officer
e2812a00-b78e-4837-9869-8117e9bb382b,"Smith, Morgan and Gomez",Database administrator
8de196f1-48fa-4941-bd59-20b810c5ef28,"Mcbride, Leonard and Miller",Media planner
17dbc105-9115-437e-936d-9e52d83700dd,Acosta LLC,Production manager
2cc0e482-9cbf-40c4-b02e-baac0249a6bd,Santos and Sons,Forest/woodland manager
40f022cc-7d0c-4829-8e44-9d90740b14d6,Brennan-Huff,"Designer, fashion/clothing"
5e14a834-8144-4b61-bfb2-09ded248faf9,Palmer PLC,"Teacher, English as a foreign language"
d2fdf3ff-70b7-484a-828c-02481396a988,"Pierce, Jimenez and Stevens",Ecologist
f6b8b51f-f576-4e76-84ae-e549f6344a7d,Martinez Inc,Chief Strategy Officer
b7e90edd-ead5-40a8-af86-c6c1b77ad3f9,"Meyer, Rodriguez and Hudson",Insurance risk surveyor
2a0c6d21-f8b1-44d4-a7b2-24ec55f095c9,"Williams, Wilson and Keller",Forest/woodland manager
b62c8c56-1ce5-4b65-88c4-82bd38156556,Rodriguez Ltd,"Presenter, broadcasting"
17d85f0e-9f11-457c-984b-7828bb1bf531,Bowman-Espinoza,Mining engineer
4fca9549-652a-4cc5-a3eb-881eb969341a,Wiggins-Anderson,IT technical support officer
59d4bacf-daf9-41ed-8e46-fae7541352cc,Mcclure-Heath,"Surveyor, building"
aa439109-a6cf-4de9-81fd-17131c9cb465,Torres-Blevins,Geophysicist/field seismologist
f3c63161-4fb2-4d01-a9cb-3f5712d4493d,Howard LLC,Chiropractor
76810c4f-92ad-478f-8ad6-1c85f8e108ed,Rogers Ltd,Geochemist
e21998fc-7410-4b61-ac2e-ecbbc5a9b603,Hubbard PLC,"Geologist, engineering"
a39745d3-e405-423d-beb9-ae997bf83988,Little-Brady,Early years teacher
cab5ec37-79ce-4607-b4a5-1d5be0365d92,Serrano Inc,Geographical information systems officer
9d8d3c48-c7f8-4ba6-a83f-b46459eba6e4,Shaw Inc,"Teacher, special educational needs"
067c0e85-56a9-47f8-98d6-2ff6c4cede1e,Lopez Ltd,Field trials officer
58f2b303-741d-4a54-a356-40997fe32190,Mendoza Ltd,Wellsite geologist
7d003a89-4651-4b94-901d-7996f94d4389,Bradley Ltd,Proofreader
8090ae30-c7a1-40e0-9dee-09d1b5457294,"Cruz, Burgess and Cox",Astronomer
ffcfaa7b-cb12-451c-9999-1206e8fb03fd,Odonnell Ltd,Archivist
afd69c61-0fb1-4d72-873f-27029c2771c4,"Byrd, Gentry and Bennett",Systems analyst
42fd3c08-bcba-4118-bfd6-0583f257f159,Garcia Group,Early years teacher
ab3ecd94-6a61-4e83-b534-8fba553da305,Hernandez-Berry,Ship broker
fe424a72-b444-4ba7-b5f4-864477e4c810,Anderson-Yang,Sports development officer
bc3fbd01-382e-4b3b-b2e0-83b730173dde,"Carlson, Smith and Jones",Chartered accountant
85bed502-2e2d-4d47-8584-68a76aa5e8e9,"Craig, Grimes and Wood",Electronics engineer
55d35eaa-1423-48d0-86d8-f9049f34e1da,Dominguez Group,Community development worker
a477b22c-5bca-4d31-a50c-4afddeb4129b,"Freeman, Howard and Wiggins",Adult nurse
13d15bfe-8fd4-4fb0-be4c-d172b58c5407,Ramos and Sons,Phytotherapist
e3d53dd0-1759-42bc-8565-dba845a9060f,Barr-Clements,"Programmer, multimedia"
4260da32-d980-47cf-907f-5e4c954cfd77,Abbott-Martin,"Designer, textile"
d88cfff0-90cb-4c4b-b20b-67e360aadccf,"Jones, Marquez and Thompson",Commissioning editor
d08a314f-5a89-48c8-a7a1-2eda85a7aca2,Flores-Collins,Retail banker
1c75cdbf-1306-497d-8f3c-169eea7524d9,Andrews and Sons,Arboriculturist
f758dfdf-16c9-4bdd-804b-b39c04814492,Thomas-Hall,Geophysical data processor
691ffa02-0a65-4e5a-b7ec-193602ff8310,"Page, Rosario and Anderson","Scientist, water quality"
25b252cc-737f-42ce-b255-163bcfedf320,Kelley LLC,Chief Financial Officer
ce01fbc8-155a-4924-83c5-c8361edf996c,Garcia and Sons,Occupational therapist
d0adc2b2-512b-44e3-94fa-577d13fa9036,"Ruiz, Kennedy and Mora",Lexicographer
46de6313-73ae-43fd-9121-6bf2d6760825,Gordon-Johnson,Microbiologist
eb76123c-99eb-4a90-90ab-b05cd464708a,Ho Ltd,Higher education lecturer
e424dde8-55bd-4622-add1-d6b1857621a1,"Acosta, Davis and Garcia","Administrator, education"
44284d2a-a218-4a95-af47-c3e81de59cdb,Mckee and Sons,Communications engineer
a26c2c02-595a-4cd4-b78f-4fd2e44ad877,Blair PLC,"Therapist, nutritional"
9bfe2cac-6ad2-4654-ad4d-d197b208ca2c,Ellis-Cox,"Journalist, newspaper"
2386d4a6-6c77-4ac6-be4d-2c786af63439,Gates-Clark,Set designer
73ef69c9-9b9b-4df8-8a2e-335542f90884,"Powell, Brown and Holloway",Market researcher
6a3fa550-4c62-4819-a1d4-004da4dccd94,Valdez-Freeman,Financial controller
e8d02cf9-55f2-4408-9f59-e1937ea01f5e,"Gilbert, Whitaker and Ramos","Exhibitions officer, museum/gallery"
52553e75-48ae-45f6-bbad-ecd707a58380,"Ross, Bowman and Cox",Chiropodist
cc50ef51-8ba5-4aaf-a551-2b63d93e836a,"Ware, Schroeder and Barnes",Primary school teacher
73a9d109-dec3-4dcf-8c4b-fc5e4567606f,Bell-Hunt,Futures trader
c1170a2f-6671-4db0-b9f6-b17895ad85ac,Bates-Snyder,"Education officer, environmental"
30e0ddec-b80e-468c-90c6-bab0076f8760,"Randall, Leach and Moore","Therapist, music"
7f90c9cc-bab9-4243-b065-f350a4bb3712,Edwards and Sons,Prison officer
64cf31bb-cbe5-446a-97a3-14e57e81eddf,Phelps-Allen,Financial adviser
13b1b718-2596-4d6d-801c-3e4275f77641,"Duarte, Scott and Bowers","Social research officer, government"
52e4fbe1-2ac6-4898-a948-6f91de7cc4ba,Mann Inc,Fitness centre manager
b61fbca9-fcd7-497d-bc9c-5cdf8de5d0e2,"Young, Petty and Smith",Immunologist
f39647cd-7873-416a-bbca-4df40a91a730,Rosales LLC,Counsellor
fdfb786d-2828-4244-8f71-68fd797985f4,Hoffman-Martinez,"Journalist, newspaper"
8519b33f-4470-4192-9427-042897a80de7,White Ltd,Television/film/video producer
